dates,col3,color,markerType,markerSize,marker
2019 May 15 22:22:10.557125,Video,blue,triangle,8,QAM Linear requested0x3fa3
2019 May 15 22:22:12.460812,Video,green,square,8,Video Tune Succeeded 
2019 May 15 22:33:18.276881,Video,blue,triangle,8,QAM Linear requested0x2b6a
2019 May 15 22:33:19.935377,Video,green,square,8,Video Tune Succeeded 
2019 May 15 23:59:56.437911,Notifications,red,cross,15,RDK-21197 
2019 May 16 00:00:20.967532,Notifications,red,cross,15,RDK-21197 
2019 May 16 00:00:23.652651,Notifications,green,square,,PLAYER_STATUS=active 
2019 May 16 00:00:24.368988,Notifications,red,cross,15,RDK-23524 
2019 May 16 00:00:26.944296,Notifications,red,cross,15,RDK-21197 
2019 May 16 00:00:28.581974,Notifications,green,square,,GUIDE_STATUS=active 
2019 May 16 00:00:31.380289,Notifications,red,cross,15,RDK-21197 
2019 May 16 00:00:45.530436,Video,blue,triangle,8,QAM Linear requested0x2b6a
2019 May 16 00:00:49.696454,Video,green,square,8,Video Tune Succeeded 
2019 May 16 00:01:12.216117,Notifications,red,cross,15,RDK-21197 
2019 May 16 00:01:26.851153,Video,blue,triangle,8,Netflix initiated 
2019 May 16 00:01:27.524512,Video,blue,triangle,8,Netflix started 
2019 May 16 00:01:32.217803,Video,blue,triangle,8,Netflix started 
2019 May 16 00:01:32.313635,Video,blue,triangle,8,Netflix started 
2019 May 16 00:01:34.383308,Video,blue,triangle,8,Netflix started 
2019 May 16 00:01:37.291668,Video,blue,triangle,8,Netflix started 
2019 May 16 00:01:37.563757,Video,blue,triangle,8,Netflix started 
2019 May 16 00:02:04.210394,Video,blue,triangle,8,Netflix started 
2019 May 16 00:02:06.409078,Video,blue,triangle,8,Netflix started 
