x,y,z,color,markerType,markerSize
1557939130557,1,QAM Linear requested0x3fa3,blue,triangle,8
1557939132460,1,Video Tune Succeeded ,green,square,8
1557939798276,1,QAM Linear requested0x2b6a,blue,triangle,8
1557939799935,1,Video Tune Succeeded ,green,square,8
1557944996437,2,RDK-21197 ,red,cross,15
1557945020967,2,RDK-21197 ,red,cross,15
1557945023652,2,PLAYER_STATUS=active ,green,square,
1557945024368,2,RDK-23524 ,red,cross,15
1557945026944,2,RDK-21197 ,red,cross,15
1557945028581,2,GUIDE_STATUS=active ,green,square,
1557945031380,2,RDK-21197 ,red,cross,15
1557945045530,1,QAM Linear requested0x2b6a,blue,triangle,8
1557945049696,1,Video Tune Succeeded ,green,square,8
1557945072216,2,RDK-21197 ,red,cross,15
1557945086851,1,Netflix initiated ,blue,triangle,8
1557945087524,1,Netflix started ,blue,triangle,8
1557945092217,1,Netflix started ,blue,triangle,8
1557945092313,1,Netflix started ,blue,triangle,8
1557945094383,1,Netflix started ,blue,triangle,8
1557945097291,1,Netflix started ,blue,triangle,8
1557945097563,1,Netflix started ,blue,triangle,8
1557945124210,1,Netflix started ,blue,triangle,8
1557945126409,1,Netflix started ,blue,triangle,8
