dates,col1
2019 Feb 21 16:46:29.784183,K E D _ A R R O W D O W N
2019 Feb 21 16:46:30.105899,K E D _ A R R O W D O W N
2019 Feb 21 16:46:30.567605,K E D _ A R R O W U P
2019 Feb 21 16:46:30.887554,K E D _ A R R O W U P
2019 Feb 21 16:46:31.435975,K E D _ S E L E C T
2019 Feb 21 16:46:31.628185,K E D _ S E L E C T
2019 Feb 21 16:48:24.009143,K E D _ D I G I T 2
2019 Feb 21 16:48:24.208444,K E D _ D I G I T 2
2019 Feb 21 16:48:24.537144,K E D _ D I G I T 1
2019 Feb 21 16:48:24.738570,K E D _ D I G I T 1
2019 Feb 21 16:48:25.054093,K E D _ D I G I T 6
2019 Feb 21 16:48:25.254106,K E D _ D I G I T 6
2019 Feb 21 16:48:25.399367,K E D _ D I G I T 8
2019 Feb 21 16:48:25.604721,K E D _ D I G I T 8
2019 Feb 21 16:48:54.938497,K E D _ A R R O W D O W N
2019 Feb 21 16:48:55.138510,K E D _ A R R O W D O W N
2019 Feb 21 16:48:55.628157,K E D _ S E L E C T
2019 Feb 21 16:48:55.941630,K E D _ S E L E C T
2019 Feb 21 16:48:56.645497,K E D _ S E L E C T
2019 Feb 21 16:48:56.790184,K E D _ S E L E C T
2019 Feb 21 16:49:12.608306,K E D _ S E L E C T
2019 Feb 21 16:49:12.754899,K E D _ S E L E C T
2019 Feb 21 16:49:14.373366,K E D _ S E L E C T
2019 Feb 21 16:49:14.497462,K E D _ S E L E C T
2019 Feb 21 16:49:38.193832,K E D _ K E Y A
2019 Feb 21 16:49:38.417971,K E D _ K E Y A
2019 Feb 21 16:49:39.964442,K E D _ A R R O W R I G H T
2019 Feb 21 16:49:40.139773,K E D _ A R R O W R I G H T
2019 Feb 21 16:49:40.308951,K E D _ A R R O W R I G H T
2019 Feb 21 16:49:40.411701,K E D _ A R R O W R I G H T
2019 Feb 21 16:49:40.969247,K E D _ S E L E C T
2019 Feb 21 16:49:41.124151,K E D _ S E L E C T
2019 Feb 21 16:49:43.307733,K E D _ S E L E C T
2019 Feb 21 16:49:43.458281,K E D _ S E L E C T
2019 Feb 21 16:50:32.284015,K E D _ S E L E C T
2019 Feb 21 16:50:32.435836,K E D _ S E L E C T
2019 Feb 21 16:50:33.762615,K E D _ A R R O W R I G H T
2019 Feb 21 16:50:33.887319,K E D _ A R R O W R I G H T
2019 Feb 21 16:50:34.373831,K E D _ S E L E C T
2019 Feb 21 16:50:34.517387,K E D _ S E L E C T
2019 Feb 21 16:50:47.845990,K E D _ S E L E C T
2019 Feb 21 16:50:47.962693,K E D _ S E L E C T
2019 Feb 21 16:50:50.486997,K E D _ S E L E C T
2019 Feb 21 16:50:50.640555,K E D _ S E L E C T
2019 Feb 21 16:50:53.463941,K E D _ A R R O W R I G H T
2019 Feb 21 16:50:53.587040,K E D _ A R R O W R I G H T
2019 Feb 21 16:50:53.653178,K E D _ A R R O W R I G H T
2019 Feb 21 16:50:53.777589,K E D _ A R R O W R I G H T
2019 Feb 21 16:50:53.845997,K E D _ A R R O W R I G H T
2019 Feb 21 16:50:53.915911,K E D _ A R R O W R I G H T
2019 Feb 21 16:50:54.003284,K E D _ A R R O W R I G H T
2019 Feb 21 16:50:54.076463,K E D _ A R R O W R I G H T
2019 Feb 21 16:50:54.154889,K E D _ A R R O W R I G H T
2019 Feb 21 16:50:54.258250,K E D _ A R R O W R I G H T
2019 Feb 21 16:50:54.314386,K E D _ A R R O W R I G H T
2019 Feb 21 16:50:54.415363,K E D _ A R R O W R I G H T
2019 Feb 21 16:50:54.484377,K E D _ A R R O W R I G H T
2019 Feb 21 16:50:54.582243,K E D _ A R R O W R I G H T
2019 Feb 21 16:50:54.660657,K E D _ A R R O W R I G H T
2019 Feb 21 16:50:54.756994,K E D _ A R R O W R I G H T
2019 Feb 21 16:50:54.812253,K E D _ A R R O W R I G H T
2019 Feb 21 16:50:54.920126,K E D _ A R R O W R I G H T
