dates,col1,col2
2019 Feb 15 16:00:58.068785,IP Linear,CBSd3_HD
2019 Feb 15 16:01:00.832920,Video Tune Succeeded,
2019 Feb 15 18:00:53.519335,IP Linear,CBSd3_HD
2019 Feb 15 18:00:56.359657,Video Tune Succeeded,
2019 Feb 15 18:01:20.199988,VOD URL,/ipvod17/XPPK0000000000910856
2019 Feb 15 18:01:22.811366,Video Tune Succeeded,
2019 Feb 15 18:25:18.502746,IP Linear,CBSd3_HD
2019 Feb 15 18:25:20.113009,Video Tune Succeeded,
2019 Feb 15 18:25:23.104794,VOD URL,/ipvod5/XPPK0000000000913639
2019 Feb 15 18:25:25.005774,Video Tune Succeeded,
2019 Feb 15 18:49:19.261029,IP Linear,CBSd3_HD
2019 Feb 15 18:49:21.465210,Video Tune Succeeded,
2019 Feb 15 18:50:33.365300,IP Linear,NicJr_SD
2019 Feb 15 18:50:36.342259,Video Tune Succeeded,
2019 Feb 15 18:56:33.038700,DVR URL,rio-fre2-pfld
2019 Feb 15 18:56:35.431715,Video Tune Succeeded,
2019 Feb 15 18:56:52.371302,IP Linear,NicJr_SD
2019 Feb 15 18:56:53.983628,Video Tune Succeeded,
2019 Feb 15 18:56:59.287848,DVR URL,rio-fre2-pfld
2019 Feb 15 18:57:01.480162,Video Tune Succeeded,
2019 Feb 15 19:09:57.684369,IP Linear,NicJr_SD
2019 Feb 15 19:09:59.009692,Video Tune Succeeded,
2019 Feb 15 19:30:34.730354,IP Linear,NicJr_SD
2019 Feb 15 19:30:36.235000,Video Tune Succeeded,
2019 Feb 15 19:53:43.025102,IP Linear,WDPND_HD
2019 Feb 15 19:53:45.713629,Video Tune Succeeded,
2019 Feb 15 19:53:56.706090,IP Linear,WDPND_HD
2019 Feb 15 19:53:58.237506,Video Tune Succeeded,
2019 Feb 15 19:54:19.251281,IP Linear,WDPND_HD
2019 Feb 15 19:54:20.153318,Video Tune Succeeded,
2019 Feb 15 19:54:40.205696,IP Linear,WDPND_HD
2019 Feb 15 19:54:42.935657,Video Tune Succeeded,
2019 Feb 15 19:55:02.400051,IP Linear,WDPND_HD
2019 Feb 15 19:55:03.421542,Video Tune Succeeded,
2019 Feb 15 19:55:31.088527,IP Linear,WDPND_HD
2019 Feb 15 19:55:32.313194,Video Tune Succeeded,
